AlbertPark;au-1953;0316;302.1;22.2;Australia;0.061;8.0;10.0;c;70;55;146;44;91;198;139;a;125;471;a070;308;178;a130;Albert Park;Australia;105;19;90;25;10;5;10;-30;
Bahrain;bh-2002;0413;210.2;92.3;Bahrain;0.069;28.0;9.55;c;70;0;25;76;94;8;210;a;373;345;a220;342;195;a120;Bahrain;Bahrain;55;55;22;39;85;-5;85;-40; 
BakuCity;az-2016;0921;208.5;107.8;Azerbaijan;0.1121;4.0;12.7;a;5;65;27;1;66;460;372;a;225;264;a230;51;-13;a120;Baku City;Azerbaijen;100;55;60;35;10;5;10;-30;
Catalunya;es-1991;0601;165.0;110.0;Spain;0.11;5.0;8.9;c;70;10;97;151;43;394;277;a;54;160;a040;377;379;a070;Catalunya;Catalunya;117;78;82;55;10;5;10;-30;
GillesVilleneuve;ca-1978;0615;92.0;115.1;Canada;0.118;5.0;10.0;c;70;70;3;73;38;434;117;a;100;114;a000;148;399;a020;Gilles Villeneuve;Canada;100;15;80;20;10;5;10;-30;
HermanosRodríguez;mx-1962;1026;68.5;83.6;Mexico;0.0665;3.2;22.0;c;15;15;24;68;102;91;490;a;389;90;a220;86;334;a280;Hermanos Rodriguez;Mexico;70;50;55;13;10;5;10;-30; 
Hungaroring;hu-1986;0803;180.5;117.0;Hungary;0.113;2.0;27.0;c;10;70;141;102;38;220;75;a;462;133;a220;249;348;a040;Hungaroring;Hungary;63;68;47;30;85;-5;85;-40; 
JeddahCorniche;sa-2021;0420;201.1;87.6;Saudi_Arabia;0.075;2.7;9.5;a;70;50;108;49;149;370;115;a;185;415;a350;159;194;a050;Jeddah Corniche;Saudi Arabia;17;38;20;30;85;-5;85;-40;
JoseCarlosPace;br-1940;1109;116.0;40.0;Brazil;0.056;18.0;10.0;a;70;80;0;34;130;49;141;a;435;200;a020;264;388;a060;Jose Carlos Pace;Brazil;92;33;75;40;10;5;10;-30;
LasVegas;us-2023;1123;55.1;103.0;USA_Nevada;0.088;37.0;8.5;a;75;25;0;15;40;422;29;a;376;310;a090;63;411;a230;Las Vegas;Las Vegas;115;15;79;15;10;5;10;-30;
Lusail;qa-2004;1130;212.5;90.0;Qatar;0.115;12.0;9.0;c;0;0;34;80;108;81;178;a;250;423;a220;387;216;a090;Lusail;Qatar;75;65;65;28;10;5;10;-30;
Madring;es-2026;1309;160.0;108.0;Spain;0.0423;3.0;25.0;c;50;70;0;42;90;317;28;a;-2;326;a320;210;264;a130;Madring;Spain;58;64;20;50;85;-5;85;-40;
MarinaBay;sg-2008;1005;263.4;65.8;Singapore;0.0423;3.0;25.0;a;50;70;115;82;34;489;315;a;168;365;a320;108;205;a010;Marina Bay;Singapore;72;42;75;45;10;5;10;-30;
Miami;us-2022;0504;85.0;93.8;USA_Florida;0.102;15.0;10.5;a;20;50;36;79;95;194;448;a;470;445;a280;20;72;a090;Miami;Miami;130;25;92;17;10;5;10;-30;
Monaco;mc-1929;0525;169.1;113.0;Monaco;0.11;26.0;9.5;c;60;20;122;73;7;0;175;a;26;211;a220;364;453;a040;Monaco;Monaco;60;55;35;43;85;-5;85;-40;
Monza;it-1922;0907;171.6;115.0;Italy;0.0855;30.0;10.0;c;60;20;122;77;33;3;111;a;150;265;a250;175;448;a080;Monza;Italy;35;90;25;55;85;-5;85;-40; 
RedBullRing;at-1969;0629;176.9;117.7;Austria;0.109;2.0;27.0;c;0;0;0;14;49;333;52;a;37;380;a330;125;301;a160;Redbull Ring;Austria;80;40;80;30;10;5;10;-30;
Shanghai;cn-2004;0323;279.3;99.0;China;0.096;3.0;20.0;c;70;60;0;45;94;133;52;a;14;218;a350;215;385;a340;Shanghai;China;90;35;68;35;10;5;10;-30;
Silverstone;gb-1948;0706;161.5;124.5;United_Kingdom;0.081;38.0;11.0;c;-10;50;70;108;34;11;141;a;408;173;a230;179;425;a290;Silverstone;Great Britain;105;37;67;30;10;5;10;-30;
SpaFrancorchamps;be-1925;0727;169.6;120.0;Belgium;0.118;3.5;10.0;c;0;50;152;30;104;165;432;a;475;117;a160;17;23;a290;Spa Franchorchamps;Belgium;105;50;70;40;10;5;10;-30;
Suzuka;jp-1962;0406;295.2;102.5;Japan;0.19;15.0;11.0;c;0;10;172;61;134;383;333;a;241;222;a220;96;311;a130;Suzuka;Japan;73;45;60;40;10;5;10;-30;
theAmericas;us-2012;1019;72.4;98.1;USA_Texas;0.075;15.0;10.0;a;60;20;107;56;171;39;194;a;181;331;a160;292;296;a140;the Americas;United States;85;42;75;50;10;5;10;-30;
YasMarina;ae-2009;1207;216.9;89.8;United_Arab_Emirates;0.105;5.0;11.0;a;70;70;115;26;70;215;250;a;265;390;a350;345;4;a100;Yas Marina;Abu Dhabi;85;65;60;35;10;5;10;-30;
Zandvoort;nl-1948;0831;168.0;123.0;Netherlands;0.111;20.0;11.0;c;70;70;0;34;88;61;272;a;212;261;a110;189;200;a240;Zandvoort;Netherlands;48;62;32;38;85;-5;85;-40;
