AlbertPark;au-1953;148;5,346;
Bahrain;bh-2002;96;5,614;
BakuCity;az-2016;89;6,106;
GillesVilleneuve;ca-1978;103;4,459;
HermanosRodríguez;mx-1962;104;4,361;
Hungaroring;hu-1986;143;4,641;
Istanbul;tr-2005;88;5,541;
JeddahCorniche;sa-2021;152;6,319;
JoseCarlosPace;br-1940;171;4,361;
LasVegas;us-2023;57;6,261;
Lusail;qa-2004;110;5,565;
Madring;es-2026;117;5,811;
MarinaBay;sg-2008;116;5,096;
Miami;us-2022;112;5,457;
Monaco;mc-1929;163;3,337;
Monza;it-1922;125;5,880;
Portimão;pt-2008;104;4,662;
RedBullRing;at-1969;81;4,598;
Shanghai;cn-2004;143;5,680;
Silverstone;gb-1948;136;6,049;
SpaFrancorchamps;be-1925;154;7,049;
Suzuka;jp-1962;173;6,082;
theAmericas;us-2012;173;5,836;
YasMarina;ae-2009;133;5,552;
